stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee
COMPLETE,2021-08-04,Colorado,MH 715 18TH ST,,18TH ST,GREELEY,1700
COMPLETE,2021-09-15,Colorado,803 MH,,40TH ST,EVAN,1700
COMPLETE,2021-09-15,Colorado,805,,40TH ST,EVAN,1700
COMPLETE,2021-09-17,Colorado,25 UNIT,,1ST AVE,GREELEY,1700
COMPLETE,2021-10-20,Colorado,BUILDING 25,West,29TH ST,GREELEY,1700
COMPLETE,2021-10-20,Colorado,BUILDING 27,West,29TH ST,GREELEY,1700
COMPLETE,2021-10-20,Colorado,BUILDING 27,West,29TH ST,GREELEY,1700
COMPLETE,2021-10-20,Colorado,Building 28,West,29TH ST,GREELEY,1700
COMPLETE,2022-04-15,Colorado,MH 535 18TH ST,,18TH ST,GREELEY,1700
COMPLETE,2022-04-19,Colorado,MH 1401 N 17TH AVE,North,N 17TH AVE,GREELEY,1700
COMPLETE,2022-11-22,Colorado,118,,S 10TH ST,HOLLY,600
COMPLETE,2022-11-22,Colorado,120,South,S 10TH ST,HOLLY,600
COMPLETE,2022-11-22,Colorado,MH 118 E COLORADO ST,,E COLORADO ST,HOLLY,600
COMPLETE,2022-11-22,Colorado,MH 118 E COLORADO ST,,E COLORADO ST,HOLLY,600
COMPLETE,2022-11-22,Colorado,MH 133 S 10TH ST,South,S 10TH ST,HOLLY,600
COMPLETE,2023-02-01,Colorado,707,,42ND ST,EVANS,1700
COMPLETE,2023-02-17,Colorado,MH 2530,,71ST AVE,GREELEY,600
COMPLETE,2023-02-28,Colorado,MH 88 BOULDER ST,,BOULDER ST,EVANS,600
COMPLETE,2023-02-28,Colorado,MH 89 BOULDER ST,,BOULDER ST,EVANS,600
COMPLETE,2023-03-02,Colorado,MH 85 BOULDER ST,,BOULDER ST,Evans,600
COMPLETE,2023-03-16,Colorado,MH 466 GOLDEN ST,,GOLDEN ST,Evans,600
COMPLETE,2023-03-16,Colorado,MH 468 GOLDEN ST,,GOLDEN ST,Evans,600
COMPLETE,2023-03-17,Colorado,MH 473 BOULDER ST,,BOULDER ST,Evans,600
COMPLETE,2023-03-17,Colorado,MH 80 GOLDEN ST,,GOLDEN ST,Evans,600
COMPLETE,2023-03-17,Colorado,MH 81 GOLDEN ST,,GOLDEN ST,Evans,600
COMPLETE,2023-03-20,Colorado,MH,,IDAHO ST,Evans,600
COMPLETE,2023-03-20,Colorado,MH 483 IDAHO ST,,IDAHO ST,EVANS,600
COMPLETE,2023-03-20,Colorado,MH 484 IDAHO ST,,IDAHO ST,EVANS,600
COMPLETE,2023-03-20,Colorado,MH 95 CENTRAL ST,,39TH ST,EVANS,600
COMPLETE,2023-03-22,Colorado,3821 CENTRAL ST,,CENTRAL ST,EVANS,600
COMPLETE,2023-03-22,Colorado,MH 85 BOULDER ST,,BOULDER ST,EVANS,600
COMPLETE,2023-04-03,Colorado,908,,40TH ST,EVANS,600
COMPLETE,2023-04-04,Colorado,3705,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3706,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3707,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3708,,BOULDER ST,,600
COMPLETE,2023-04-04,Colorado,3709,North,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3711,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3712,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3713,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3715,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3716,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3716,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3719,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,3720,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,MH 85 BOULDER ST,,BOULDER ST,Evans,600
COMPLETE,2023-04-04,Colorado,MH 87 BOULDER ST,,BOULDER ST,Greeley,600
COMPLETE,2023-04-05,Colorado,MH 485 CENTRAL ST,,CENTRAL ST,Evans,600
COMPLETE,2023-04-05,Colorado,MH 486 CENTRAL ST,,CENTRAL ST,Evans,600
COMPLETE,2023-04-06,Colorado,MH 494 42ND ST RD,,42ND ST RD,Ebans,600
COMPLETE,2023-04-06,Colorado,MH 494 42ND ST RD,,42ND ST RD,Evans,600
COMPLETE,2023-04-07,Colorado,4016,,BOULDER ST,EVANS,600
COMPLETE,2023-04-07,Colorado,718,,40TH ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3704,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3706,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3708,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3710,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3714,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3718,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3724,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3724,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3803,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,3805,,CENTRAL ST,EVANS,600
COMPLETE,2023-04-10,Colorado,718,,40TH ST,EVANS,1700
COMPLETE,2023-04-10,Colorado,812,,38TH ST,EVANS,600
COMPLETE,2023-04-10,Colorado,818,,38TH ST,EVANS,600
