stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee
COMPLETE,2025-05-13,Atmos Colorado,1000,,Main St.,Denver,---------------------
PRECON COMPLETE,2026-01-06,Atmos Colorado,1022,,Cheyenne ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,1022,,Cheyenne ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,1022,,Cheyenne ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,1034,,Cheyenne ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,1040,,Cheyenne ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,1046,,Cheyenne ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,123,,11th ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,Lot 1,,11th ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,Lot 2,,11th ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,Lot 3,,11th ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,Lot 4,,11th ST,Holly,2600
PRECON COMPLETE,2026-01-06,Atmos Colorado,Lot 5,,11th ST,Holly,2600
PRECON COMPLETE,2026-01-07,Atmos Colorado,1001,,10th ST,Holly,2600
PRECON COMPLETE,2026-01-07,Atmos Colorado,124,,10th ST,Holly,2600
PRECON COMPLETE,2026-01-07,Atmos Colorado,124,,10th ST,Holly,2600
PRECON COMPLETE,2026-01-07,Atmos Colorado,124,,10th ST,Holly,2600
PRECON COMPLETE,2026-01-07,Atmos Colorado,129,,10th ST,Holly,2600
PRECON COMPLETE,2026-01-07,Atmos Colorado,131,,10th ST,Holly,2600
