stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee
COMPLETE,2019-07-09,Kansas,811,,S Water St,Olathe,1097
COMPLETE,2019-07-09,Kansas,811,,S Water St,Olathe,1097
COMPLETE,2019-07-09,Kansas,811,,S Water St,Olathe,1097
COMPLETE,2019-07-10,Kansas,624,,S Kansas Ave,Olathe,1097
COMPLETE,2019-07-10,Kansas,816,,S Chestnut,Olathe,1097
COMPLETE,2019-10-15,Kansas,MH350 N,North,Ridgeview,Olathe,1094
COMPLETE,2019-10-15,Kansas,MH350 S,North,Ridgeview st,Olathe,1094
COMPLETE,2019-10-18,Kansas,1424,East,SHERIDAN ST,OLATHE,1094
COMPLETE,2019-11-07,Kansas,1533,East,Spruce,Olathe,1900
COMPLETE,2019-11-07,Kansas,1533,East,Spruce,Olathe,1900
COMPLETE,2019-11-07,Kansas,1533,East,Spruce st,Olathe,1900
COMPLETE,2019-11-07,Kansas,1533,East,Spruce st,Olathe,1900
COMPLETE,2019-11-07,Kansas,1575,East,Prarie St,Olathe,1900
COMPLETE,2019-11-07,Kansas,1575,East,Prarie St,Olathe,1900
COMPLETE,2019-11-07,Kansas,1575,East,Prarie St,Olathe,1900
COMPLETE,2019-11-07,Kansas,1575,East,Prarie St,Olathe,1900
COMPLETE,2019-11-07,Kansas,401,North,Rawhide ave,Olathe,1094
COMPLETE,2019-11-07,Kansas,MH 417 West,North,Rawhide ave,Olathe,1094
COMPLETE,2019-11-07,Kansas,MH417,North,Rawhide ave,Olathe,1094
COMPLETE,2019-11-08,Kansas,1529,East,Spruce St,Olathe,1094
COMPLETE,2019-11-08,Kansas,307,North,BURCH ST,OLATHE,1900
COMPLETE,2019-11-08,Kansas,307,North,BURCH ST,OLATHE,1900
COMPLETE,2019-11-08,Kansas,311,North,BURCH ST,OLATHE,1900
COMPLETE,2019-11-08,Kansas,421,North,Rawhide dr,Olathe,1094
COMPLETE,2019-11-08,Kansas,MH1552,East,Spruce st,Olathe,1094
COMPLETE,2019-11-08,Kansas,MH1552 east,East,Spruce st,Olathe,1094
COMPLETE,2019-11-08,Kansas,MH421,North,Rawhide dr,Olathe,1094
