stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee
PRECON COMPLETE,2025-09-15,Atmos Kansas,106,,ORANGE AVE,CANEY,2400
PRECON COMPLETE,2025-09-15,Atmos Kansas,111,,ORANGE ST,CANEY,2400
PRECON COMPLETE,2025-09-15,Atmos Kansas,112,,ORANGE ST,CANEY,2400
PRECON COMPLETE,2025-09-15,Atmos Kansas,MH 118 W ORANGE ST,,ORANGE ST,CANEY,2400
PRECON COMPLETE,2025-09-15,Atmos Kansas,MH 123,,ORANGE AVE,CANEY,2400
PRECON COMPLETE,2025-09-15,Atmos Kansas,MH 123 W ORANGE ST,,ORANGE ST,CANEY,2400
PRECON COMPLETE,2025-09-17,Atmos Kansas,100,,ORANGE AVE,CANEY,350
PRECON COMPLETE,2025-09-17,Atmos Kansas,109,,ORANGE AVE,CANEY,350
PRECON COMPLETE,2025-09-17,Atmos Kansas,115,,ORANGE ST,CANEY,350
PRECON COMPLETE,2025-09-17,Atmos Kansas,133,,E ORANGE AVE,CANEY,350
PRECON COMPLETE,2025-09-17,Atmos Kansas,MH 101 W HOWARD ST,,HOWARD ST,CANEY,350
PRECON COMPLETE,2025-09-17,Atmos Kansas,MH 101 W HOWARD ST,,HOWARD ST,CANEY,350
PRECON COMPLETE,2025-09-18,Atmos Kansas,108,,ORANGE ST,CANEY,2400
PRECON COMPLETE,2025-09-18,Atmos Kansas,507,,MAIN ST,CANEY,2400
PRECON COMPLETE,2025-09-18,Atmos Kansas,MH 507 N MAIN ST,,MAIN ST,CANEY,2400
PRECON COMPLETE,2025-09-24,Atmos Kansas,101,,ORANGE ST,CANEY,350
PRECON COMPLETE,2025-09-24,Atmos Kansas,106,,ORANGE AVE,CANEY,40
PRECON COMPLETE,2025-09-24,Atmos Kansas,118,,ORANGE ST,CANEY,2400
PRECON COMPLETE,2025-09-24,Atmos Kansas,500,,MAIN ST,CANEY,2400
PRECON COMPLETE,2025-09-24,Atmos Kansas,502,,MAIN ST,CANEY,40
PRECON COMPLETE,2025-09-24,Atmos Kansas,509,,MAIN ST,CANEY,2400
PRECON COMPLETE,2025-09-24,Atmos Kansas,600,,MAIN ST,CANEY,350
