stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee,billed_adder_notes,billed_adder_other,cb_date,cb_report,clear_date,cleared_by,client_no,co_install_y_n,conflict_repair_date,crew_lead,crew_tech,depth_1,depth_2,depth_3,depth_4,depth_5,desc_1,desc_2,desc_3,desc_4,desc_5,dig_hrs,dig_y_n,dir_lat_frm_mh,dist_1,dist_2,dist_3,dist_4,dist_5,dist_mh_to_lat,door_tag_date1,door_tag_date2,door_tag_date3,end_mh,field_notes,gas_main_clr_date,gas_main_clr_method,gas_service_clr_date,gas_service_clr_method,inspection_hourly,inspection_type,inspector,lat_inspection_push_camera_ea,latitude,longitude,measurements_y_n,no_videos_today,no_videos_total,notes_doortag,notes_extra,num_of_co_installs,phase,photo_map,pipe_complete,project_no,pv_stage,qa_comments_1,qa_comments_2,qa_comments_3,qa_name,qa_pass_fail_1,qa_pass_fail_2,qa_pass_fail_3,qc_comments_1,qc_comments_2,qc_comments_3,qc_date_1,qc_date_2,qc_date_3,qc_name_1,qc_name_2,qc_name_3,qc_p_f_1,qc_p_f_2,qc_p_f_3,ref_1,ref_2,ref_3,ref_4,ref_5,rerun_deadline,rerun_y_n,sanitary_main_cleaning_lf,sanitary_main_inspection_lf,sewer_lat_inspection_lat_launch_ea,sewer_lateral_cleaning_lf,sewer_ml_ft,sewer_type,site_photos,start_mh,state,status_update,storm_main_cleaning_lf,storm_main_inspection_lf,street_direction,time,to_bldg,utility_type,video_1,video_2,video_3,video_date_1,video_date_2,video_date_3,video_device_1,video_device_2,video_device_3,video_type,video_url,video_url_2,video_url_3
COMPLETE,2025-06-06,,17501,,98TH ST,LENEXA ,,,,,,2025/06/06,1800,VISTA VILLAGE(PRAIRIE STAR PKWY/RIDGEVIEW) ,,,Edgar Atwood,Eric Zerr,0,107,,,,TAP,GMI/END@CAP,,,,,,,290.4,31.6,,,,290.4,,,,,,2025/06/06,LETS,2025/06/06,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9548,-94.7909,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_6720a4_cdv_photo_003_1749238042117.jpg"",""rid"":38810364,""lid"":""6728851"",""fid"":""954"",""field"":""photo_map"",""title"":""mdc_photo_mdc_6720a4_cdv_photo_003_1749238042117.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0403,COMPLETE,,,,,,,,,,,2025/06/12,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_a8b008_cdv_photo_002_1749237883684.jpg"",""rid"":38810350,""lid"":""6728851"",""fid"":""954"",""field"":""site_photos"",""title"":""mdc_photo_mdc_a8b008_cdv_photo_002_1749237883684.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 17501 W 98TH ST ,KS,2025/06/06,,,West,14:18,M,2,Edgar Atwood,,,2025/06/06,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/9499e324-a3b2-458d-8857-abe7a2f19628?t=0&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&ordering=-Inspection_Date&status=uploaded&client_reviewed=false,,
GAS LINE,2025-06-02,,,,QUINCY ST,COMMERCE ,,,,,,2025/06/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,36.9362,-94.8748,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2025/06/02,,,,09:30,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,228,,SW TERRA DR,TOPEKA,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9784,-95.6858,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:25,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9784,-95.6852,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:41,,1,,,,,,,,,,,,,
RECON,2025-04-30,,,,,,,,,,,2025/04/30,,876876,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre,7giguyguyg,,41.7666,-88.0581,,,,,,,One Gas,,N/A,0406,RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9,,,145,Main Inspection,,,,2025/04/30,,,,09:34,,2,N/A,,,,,,N/A,,,,,,
GAS LINE,2025-05-05,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9784,-95.6851,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:40,,1,,,,,,,,,,,,,
RECON,2025-06-05,,,,MOODY PARK DR,OVERLAND PARK ,,,,,,,1800,SOUTHDALE/95 AND NEIMAN ,,,Eric Zerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9586,-94.701,,,,,TECH IS CHRIS,,One Gas,,N/A,0406,RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Inspection,,,KS,2025/06/05,,,,,,2,N/A,,,,,,N/A,,,,,,
GAS LINE,2025-06-02,,217,,3RD ST,COMMERCE ,,,,,,2025/06/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,36.9362,-94.8748,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2025/06/02,,,North,09:55,,1,,,,,,,,,,,,,
GAS LINE,2025-06-05,,,,,COMMERCE,,,,,,2025/06/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,36.9374,-94.8748,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2025/06/05,,,,12:08,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9783,-95.6847,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,09:02,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,218,,SW TERRA DR  ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9784,-95.6846,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:55,,1,,,,,,,,,,,,,
GAS LINE,2025-06-05,,,,,COMMERCEY,,,,,,2025/06/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,36.9375,-94.8748,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2025/06/05,,,,12:30,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9783,-95.6854,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:43,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,225,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9783,-95.6856,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:31,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,224,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9783,-95.6856,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:32,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,SW TERRA DR,TOPEKA,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9778,-95.6836,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,,08:23,,1,,,,,,,,,,,,,
COMPLETE,2025-06-05,,319,,RIVER ST,COMMERCE,,,,,,2025/06/05,2400,5TH AND RIVER,,,James Atwood,Michael Parrish,0,0,,,,TAP,END,,,,,,South,87.1,1.1,,,,87.1,,,,,,2025/06/05,LETS,2025/06/05,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,36.9375,-94.8748,yes,1,1,,DIRT BLOCKAGE WAS IN PRE VIDEO AS WELL NO GAS ON CROSSING ABANDONED ,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_b8539e_cdv_photo_004_1749145071024.jpg"",""rid"":38796299,""lid"":""6728851"",""fid"":""886"",""field"":""photo_map"",""title"":""mdc_photo_mdc_b8539e_cdv_photo_004_1749145071024.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,,,,2025/06/06,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 318 N QUINCY ST ,OK,2025/06/05,,,North,12:34,A,2,James Atwood,,,2025/06/05,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/c033d3fd-712f-4cfd-84c3-c474a6dc5560?t=1.988463&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&ordering=-Inspection_Date&client_reviewed=false&city=COMMERCE,,
GAS LINE,2025-05-05,,227,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9784,-95.6862,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,08:27,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,232,,SANNEMAN DR,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9767,-95.6858,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.5,,,,KS,2025/05/05,,,,09:04,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,SANNEMAN DR,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9768,-95.6857,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,,09:09,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9782,-95.6843,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,09:07,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9782,-95.6843,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,South,09:04,,1,,,,,,,,,,,,,
