stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee
COMPLETE,1979-06-08,,18900 n webster,North,Webster,spring hill,1800
COMPLETE,2023-06-23,,5101,,TROOST AVE,KANSAS CITY,600
COMPLETE,2023-07-11,,5129,,FOREST AVE,KANSAS CITY,
COMPLETE,2023-08-21,,5045,,VIRGINIA AVE,KANSAS CITY,
COMPLETE,2023-10-03,,5311,,ROCKHILL RD,KANSAS CITY,
COMPLETE,2024-02-28,,5101,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5103,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5111,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5115,North,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5117,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5121,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5125,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5129,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5133,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5137,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,5143,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,MH 5118 LYDIA AVE,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-02-28,,MH 5118 LYDIA AVE,,LYDIA AVE,KANSAS CITY,
COMPLETE,2024-03-20,,10105,,HILLCREST RD,KANSAS CITY,2600
COMPLETE,2024-03-21,,MH 10007 HILLCREST RD,,HILLCREST RD,KANSAS CITY,2600
COMPLETE,2024-03-23,,1757,,Marshall dr,Des plaines,120
COMPLETE,2024-03-25,,MH 10101,,HILLCREST RD,KANSAS CITY,2600
COMPLETE,2024-03-26,,MH 10001 HILCREST RD,,HILLCREST RD,KANSAS CITY,2600
COMPLETE,2024-04-04,,10111,,HILLCREST RD,KANSAS CITY,1800
COMPLETE,2024-04-18,,5037,,LYDIA AVE,KANSAS CITY,1800
COMPLETE,2024-04-18,,5041,,LYDIA AVE,KANSAS CITY,1800
COMPLETE,2024-04-18,,5042,,LYDIA AVE,KANSAS CITY,1800
COMPLETE,2024-04-18,,5046,,LYDIA AVE,KANSAS CITY,1800
COMPLETE,2024-04-18,,5047,,LYDIA AVE,KANSAS CITY,1800
COMPLETE,2024-04-25,,505,North,Wolf rd,NORTHLAKE,950
COMPLETE,2024-04-25,,507,North,Wolf rd,NORTHLAKE,950
COMPLETE,2024-04-25,,517,North,Wolf rd,NORTHLAKE,950
COMPLETE,2024-04-25,,521,North,Wolf rd,NORTHLAKE,950
COMPLETE,2024-05-03,,2,West,Palmer ave,NORTHLAKE,700
COMPLETE,2024-05-03,,500,North,Lavergne ave,NORTHLAKE,700
COMPLETE,2024-05-03,,501,North,Lavergne ave,NORTHLAKE,700
COMPLETE,2024-05-13,,804,South,SAVILLE ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,815,South,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,816,South,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,816,South,SAVAGE ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,817,South,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,820,South,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,820,South,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,820,South,SAVAGE ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,823,South,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,824,,SAVAGE ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,824,South,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,MH 808 S SAVILLE ST,South,SAVILLE ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,MH 813 S SOUTH SAVILLE ST,South,SAVILLE ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,MH 816 A S SAVAGE ST,South,SAVAGE ST,KANSAS CITY,2600
COMPLETE,2024-05-13,,MH 816 S HARKLESS ST,South,HARKLESS,KANSAS CITY,2600
COMPLETE,2024-05-13,,MH 816 SAVAGE ST,South,SAVAGE ST,KANSAS CITY,2600
COMPLETE,2024-05-14,,803,,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-14,,805,,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-14,,807,,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-14,,808,,HARKLESS ST,KANSAS CITY,2600
COMPLETE,2024-05-14,,808,,HARKLESS ST,KANSAS CITY,2600
